,word,count
69936,schoi,2
89051,emular,2
50898,tentarla,2
75803,longe,2
12393,enmascarada,2
51466,pretenderé,2
47913,gathering,2
89205,ergo,2
47646,estrenó,2
51650,fingida,2
49015,fotovoltaicos,2
88966,favooooor,2
89058,dejases,2
76127,pesadelo,2
49117,femineidad,2
89204,dislocado,2
50628,aconsejas,2
51716,concienzuda,2
51717,diosas,2
89467,bathrobe,2
52126,marcharas,2
51121,gehrig,2
50629,considerarla,2
51648,tacaña,2
52120,biocontención,2
14300,takadasan,2
49007,noviecito,2
51478,opositores,2
69846,gordinflones,2
13560,protegíamos,2
52118,patógenos,2
69844,trincamos,2
2791,razon,2
12411,divirtiera,2
48708,agradécele,2
49548,scooby,2
88045,estancada,2
48317,compones,2
48507,corktown,2
51712,valoración,2
48703,linen,2
49828,edifico,2
75868,acabei,2
50909,irreemplazable,2
51713,provengo,2
88415,matarrecompensas,2
89470,crept,2
69770,librarás,2
48707,lavanderías,2
70249,impartir,2
13109,compadezcas,2
48502,calientito,2
51714,exhiban,2
48499,magníficamente,2
88571,marinas,2
70129,significara,2
50395,esquire,2
69847,acompañadnos,2
49833,indomable,2
47654,mándele,2
13108,chalky,2
88024,federalismo,2
89372,podar,2
48084,postponed,2
50794,recuperaron,2
70268,majo,2
96861,traspasó,2
88123,rahman,2
50298,pelearás,2
48301,espectacularmente,2
47934,dreadful,2
51678,arruino,2
88481,chatsworth,2
70037,autosuficiencia,2
88007,weinberger,2
51683,regenerarse,2
51391,lesternygaard7,2
49718,atenuada,2
12320,localmente,2
14168,kacinszky,2
48899,caesar,2
50259,arrastres,2
49719,sucumben,2
88617,mukoujima,2
89336,libraron,2
48116,disappointed,2
2611,meme,2
49722,dummkopf,2
49075,contenerme,2
14357,soñarlo,2
49663,llámela,2
49247,apresado,2
49660,lmpresionante,2
50415,idearon,2
49713,insinuado,2
49714,palpita,2
76317,reset,2
51677,ocultaremos,2
48129,bumming,2
96684,rugbista,2
50263,severn,2
88299,ronny,2
47524,mathias,2
13027,goat,2
48128,runner,2
12318,globalmente,2
50417,llevadas,2
49072,torturarán,2
14361,biogenética,2
13869,acelere,2
48155,answering,2
88006,atrasan,2
52300,sarajevo,2
51685,enamorara,2
2522,desorientarlo,2
48160,kingdom,2
13628,saquémoslo,2
50734,prosigan,2
52279,prometérmelo,2
13966,redondeé,2
48897,riddle,2
48629,hundidos,2
48585,encariñarme,2
51344,agradaste,2
50080,tiendamuseo,2
49729,surcos,2
69664,krelboyne,2
88749,operarios,2
89342,electroplasma,2
52275,valyrio,2
69781,desnutrido,2
49630,atolladero,2
48630,altamar,2
50806,recuperaran,2
50255,inquietado,2
50099,recapitulemos,2
50808,ancló,2
49082,nade,2
48583,conservada,2
13054,destripar,2
52284,cvn68,2
89525,annual,2
13282,fatimas,2
47540,retomemos,2
52289,espalda;,2
51686,demérito,2
50798,compinches,2
13658,binarias,2
49724,pajarillo,2
89248,bluster,2
88298,describieron,2
69860,tumbo,2
49645,acudirá,2
89249,bronson,2
70038,automantenimiento,2
69663,herkabe,2
49642,despampanante,2
88602,kyoko,2
88189,curandería,2
51347,hanshireikan,2
48628,manteniéndolos,2
50801,fannelli,2
49639,aaee,2
69785,suprime,2
88600,hikaru,2
51386,situ,2
69940,oigáis,2
49665,domine,2
48623,desalojen,2
96613,mahogany,2
74417,primeiro,2
51371,exiliada,2
69923,comprobadlo,2
49243,expiró,2
52325,averiguaríamos,2
50764,limitaré,2
49700,despistada,2
49689,minotauro,2
70363,fotografiaste,2
75922,caco,2
49688,protesten,2
48298,postuló,2
50287,asistas,2
14368,monetizar,2
49686,torpeza,2
49060,gilligan,2
50087,saskatchewan,2
13296,torrio,2
49684,despiértele,2
47509,enumerando,2
49062,desenvolverse,2
50761,forzándome,2
49064,renovable,2
49237,sportsman,2
12614,pelona,2
88754,pujadores,2
47498,enfrentándote,2
51364,seer,2
50281,agradeciendo,2
69862,mamones,2
49058,estornudar,2
47500,cuidada,2
49697,informarse,2
88122,abdur,2
88195,santurrona,2
89229,piercycorp,2
47929,meals,2
2505,peñascos,2
52329,mahalo,2
50284,escasa,2
50776,seguratas,2
49240,écheme,2
52327,pajita,2
69863,bocata,2
49690,teseo,2
50412,afiebrada,2
48295,diferimos,2
51368,misaki,2
89016,aaaah,2
70190,ordenemos,2
88752,agitas,2
51355,excelentísima,2
49669,devant,2
49711,maisies,2
48299,enfermarte,2
75952,esperto,2
50787,desagradecida,2
70264,aparcacoches,2
52312,parsons,2
75789,perto,2
52310,alojaba,2
96692,dagg,2
51669,holyfield,2
76311,machines,2
89240,bio,2
49069,nublados,2
51671,morbosa,2
50296,incendiados,2
89339,tostadoras,2
88758,conocedores,2
50749,pedisteis,2
47518,85%,2
52306,joons,2
69942,cuidaban,2
50294,prendería,2
49677,stolzenburg,2
89237,inclinaría,2
50271,leofric,2
70030,apresure,2
51356,incriminó,2
49066,silbador,2
49680,daña,2
51373,fructífera,2
48139,breath,2
69943,tírelas,2
50414,codiciosas,2
48137,issues,2
50270,trátame,2
50292,hoces,2
49678,podernos,2
89235,nootropicos,2
89536,patrol,2
48149,southeast,2
70362,baza,2
50269,profanación,2
50786,anclada,2
88427,manejabas,2
50293,disipe,2
88301,josefa,2
76079,cantores,2
89530,signs,2
70119,supusiste,2
13624,divirtamos,2
89025,radiofrecuencia,2
70182,maldiga,2
51335,recobró,2
89218,facilitadora,2
76238,kickass,2
52240,calipso,2
48170,landed,2
49763,lntentaré,2
51428,grady,2
48095,tshirt,2
70248,expresiva,2
13679,resuelven,2
14201,soñó,2
89509,dobbs,2
69948,exdelta,2
76009,maioria,2
49764,destituirá,2
47583,degenerativa,2
52233,prométele,2
76263,cameras,2
50694,quex,2
88626,regaña,2
2691,esten,2
50836,aborigen,2
50693,desafié,2
47581,betabloqueadores,2
70016,confiados,2
50312,humillarte,2
50313,fugarme,2
88292,jaclyn,2
49749,eufemismos,2
51423,seduzca,2
88291,lyndsay,2
13880,constructivo,2
50245,numérica,2
13862,vigilabas,2
49750,bobitonta,2
88382,yarwyck,2
49091,lremos,2
49751,calificativo,2
48097,backwards,2
70017,mcguire,2
48565,olerte,2
14354,decrépito,2
13614,prostituyendo,2
52243,regula,2
51662,antecesor,2
49754,invítela,2
51427,pendrive,2
89512,outfits,2
51429,spinnelli,2
88627,desmayaría,2
76205,reencontrar,2
47586,hamé,2
69672,mie,2
48553,lucharás,2
50239,inculpó,2
88117,acudía,2
88632,ginza,2
75983,judaica,2
47587,marc,2
96785,kurnitz,2
69775,jueguecitos,2
49036,examinarla,2
69843,poteet,2
70206,besaban,2
89334,dilitio,2
89264,conocerles,2
88435,ely,2
49592,largaste,2
75982,harpa,2
70012,desmayan,2
48174,oírse,2
50846,borbón,2
47592,virgilio,2
52210,advil,2
48656,selecto,2
48086,disappeared,2
13860,separaciones,2
48094,shouting,2
88484,parlamentar,2
96617,envíamelos,2
50689,quedárselo,2
12352,desterraremos,2
13608,superbién,2
75924,transar,2
14202,nevado,2
12353,desterrar,2
48089,cope,2
89506,delightful,2
51661,duplicación,2
48309,recetadas,2
75797,encontrei,2
49604,impresionaría,2
14390,ponérmelo,2
51160,coroneles,2
69788,combativo,2
48556,tocarían,2
48172,luckily,2
76490,switch,2
49037,minuciosamente,2
88286,sintonizarnos,2
69857,trinquemos,2
52271,acciona,2
48642,fumara,2
49748,faut,2
50814,clipper,2
13967,ahorcando,2
49740,sm,2
52266,torturará,2
51341,grabadores,2
75989,pensam,2
76495,ducts,2
50821,greathouse,2
51689,coso,2
14483,calentaré,2
48577,interpretaciones,2
14042,chupara,2
76409,champion,2
49741,abdicación,2
52262,reúnete,2
50418,acusadas,2
50823,ahorcaran,2
88295,aburriré,2
50720,evacuarán,2
52260,aprovecharán,2
88013,culpará,2
47562,chupetón,2
88596,kawaguchi,2
88432,nathin,2
13671,fárrago,2
47553,desconectamos,2
49253,extirparon,2
51403,fotografiado,2
75991,aperta,2
47544,bilateral,2
49254,peoria,2
88622,consanguineos,2
88826,hieracium,2
88011,ahorran,2
49230,garrafa,2
47549,samu,2
49084,subsidios,2
51404,klugemar,2
50812,pudrían,2
2397,patinando,2
49736,ándate,2
50726,vaciados,2
48107,visitor,2
51406,cohen,2
12332,renuente,2
49049,hocken,2
52267,lanzarán,2
88997,realización,2
48633,pintaban,2
2732,opcion,2
51691,tranquilizarla,2
50249,memorables,2
52254,pídeme,2
52253,mantícora,2
49089,amárrenlo,2
52252,dirigirás,2
13009,chanting,2
47572,cochino,2
70020,belonefobia,2
70202,aburrirme,2
96724,taranaki,2
52251,transitado,2
12604,mítico,2
51419,blanqueado,2
51337,recorriste,2
88293,íntegra,2
51138,descalifica,2
51158,recomendando,2
50831,placentera,2
70097,debilitada,2
51421,climatizada,2
48639,pittston,2
76006,nossas,2
48640,atravesaríamos,2
70041,espantaste,2
88016,agonizaba,2
50711,revienten,2
89137,súbela,2
76393,ripe,2
48636,transportistas,2
49619,llévele,2
76136,mexidos,2
89255,mordiera,2
88891,haitiano,2
48575,refrescar,2
13013,ceremony,2
12605,obsesionaste,2
51410,arigato,2
88892,cimarrones,2
49044,decarlo,2
75914,concordo,2
50719,repentinos,2
74388,moro,2
50248,remodelando,2
49255,bebieron,2
51146,barrel,2
89515,insecurity,2
50077,explicaran,2
69871,enrollados,2
48292,mediodia,2
75953,palavras,2
96533,melnick,2
88981,contraplanos,2
48044,contract,2
51642,zinc,2
51876,fennesz,2
88711,perturbaciones,2
70327,reprimir,2
48260,propondré,2
47814,pisspot,2
51873,comentará,2
51037,hampa,2
48395,mandanos,2
51871,elijes,2
49398,abonados,2
75860,amarossi,2
49397,abonado,2
69714,apréndete,2
88920,mackimmie,2
14323,ultrasecreto,2
51766,asegurarles,2
74379,sinta,2
51038,sanguijuela,2
51867,engreídas,2
69716,dispararás,2
13890,sádicas,2
49965,agobiante,2
48804,postules,2
69717,apuntarle,2
48953,aglomerado,2
48396,jódelos,2
89166,pretenciosos,2
88357,roose,2
51885,zala,2
48399,sáquenmelo,2
76350,essential,2
51568,tengais,2
51030,clemmons,2
49310,excites,2
49174,pepitas,2
75832,chegou,2
47812,crappy,2
88217,lyudmilla,2
13482,neuralizador,2
14092,cortarlos,2
48803,manejarse,2
51176,despejemos,2
96845,aliando,2
51571,hachís,2
51631,cerraras,2
14071,chupaste,2
49175,negligé,2
51763,contractual,2
89164,cronometro,2
88497,musso,2
49176,rasgó,2
88523,folger,2
70109,comunicaré,2
69718,reventaré,2
47824,plastic,2
48386,infestando,2
12912,eal,2
51622,quemarlas,2
12911,chhor,2
50509,subestima,2
50113,actuaban,2
50388,derroche,2
88459,chorrada,2
51852,orell,2
14321,ryuuga,2
50508,persuadirla,2
49389,emocionarme,2
69983,aceptarte,2
88874,heráldica,2
96843,waleed,2
48385,quítamelo,2
47831,ensure,2
88519,rentas,2
50138,llegaseis,2
49977,infórmese,2
88392,ansían,2
14015,gungnir,2
89159,recuperándome,2
50513,metiéndose,2
51039,cobramos,2
75836,vem,2
49392,ondulado,2
76193,mexe,2
48339,pillaste,2
96669,gats,2
89396,escabullíamos,2
51860,mantari,2
49315,sosiego,2
49973,salivor,2
14073,engendraron,2
51768,grimes,2
88521,voytek,2
69754,espabilad,2
75881,tchau,2
70291,numeritos,2
88715,rajó,2
48389,susúrramelo,2
51859,manticora,2
69985,recorra,2
50367,despreciada,2
48393,mantenlas,2
51757,videoblog,2
13840,embriagante,2
48338,despeinada,2
51556,noruegos,2
51905,valiryo,2
51231,contribuyendo,2
88698,shimada,2
51903,sandor,2
51013,barrí,2
51557,repulsivos,2
50540,productiva,2
69987,placado,2
51902,guardajuramentos,2
51234,enojaron,2
88735,restas,2
88149,distribuidora,2
51901,alforjas,2
47799,unbridled,2
49162,despegando,2
48269,ganarías,2
75942,olhar,2
51900,cargarás,2
89088,trestresdosseis,2
88248,ingerir,2
48234,quaaludes,2
76285,technical,2
88148,portaron,2
51906,vigilándote,2
49160,cuece,2
74374,olhos,2
88788,hexen,2
51916,ejecutarte,2
47789,kicked,2
51915,rehúsas,2
50359,tomare,2
76347,wardrobe,2
48001,patients,2
50545,afligió,2
69709,brav,2
70308,sucesora,2
48271,viejitas,2
51912,galera,2
14549,alpinismo,2
88351,cerwyn,2
51911,rogarte,2
96633,kbiz,2
51908,duraré,2
50542,sufriré,2
69975,infértil,2
47794,sentences,2
49415,enjuagar,2
88934,sexshop,2
13358,prescindibles,2
51228,retirando,2
76376,drives,2
48791,apuñale,2
13843,avisarás,2
88927,carey,2
48408,clasificaron,2
76051,perfeitamente,2
14275,misachan,2
51886,drogon,2
48850,captará,2
48404,tutores,2
88242,iquitos,2
48265,fda,2
13790,fotósfera,2
48794,provenzano,2
47984,frustrated,2
50146,obligarles,2
14095,pisoteada,2
49303,comanches,2
48263,donadores,2
48402,tardáis,2
48955,ragano,2
70075,preoperatoria,2
12881,sollozando,2
51220,provocarme,2
76040,louco,2
12651,khmer,2
50040,poder,2
50458,territoriales,2
13844,grandísimo,2
49946,obligatoriamente,2
88143,lamborghini,2
88868,blasón,2
48851,captó,2
88142,tribulaciones,2
88355,moat,2
88245,dimetiltriptamina,2
51755,asegurara,2
47990,hotline,2
49410,brokaw,2
13362,ganarlas,2
51892,arrodillarte,2
88869,crowborough,2
49409,hprdc,2
88527,charlan,2
48790,sindicalista,2
50041,titulo,2
89309,louvier,2
13364,quítenmelas,2
47943,experiment,2
70309,comilona,2
48384,inyectaban,2
69708,enésima,2
89097,resetearon,2
48383,aldwych,2
70082,mandarlos,2
14510,alojarnos,2
89110,igualitarios,2
75950,produtividade,2
48254,basará,2
69818,marsupiales,2
75877,dente,2
51195,apurarlo,2
88912,endurecer,2
51080,colocaste,2
51075,paradójico,2
49196,harrigan,2
13831,salías,2
70320,embaucadores,2
12543,flow,2
50382,ejecutaste,2
89323,owosekun,2
48353,racionarla,2
51809,sobreprotector,2
88396,patito,2
48930,napoli,2
75948,lemos,2
51607,átalos,2
47957,mats,2
48356,rosewell,2
51781,abróchate,2
51774,grada,2
49352,pegase,2
47850,mystery,2
48832,otorga,2
89386,gritábamos,2
49350,middletons,2
50489,emerger,2
14512,benefactor,2
70252,mosaico,2
51197,flacos,2
48835,constitucional,2
88462,raiders,2
69722,negraco,2
51072,sintéticas,2
50484,votaremos,2
89151,ocultarte,2
50009,alzada,2
88502,babel,2
75847,telefonistas,2
89320,detmer,2
13816,bañado,2
48934,esfínteres,2
51820,aniquilarnos,2
51092,sistemática,2
96754,tocantins,2
96839,nazir,2
50019,repartos,2
47951,splitting,2
88505,cotten,2
14507,caa,2
76191,menina,2
75875,fique,2
50029,ir,2
88108,calentón,2
49335,captor,2
76190,boneca,2
50479,kelind,2
49333,macedonio,2
48926,apelamos,2
69745,scarface,2
13446,zamporiano,2
88728,fem,2
51087,reclutan,2
51088,desorientados,2
47868,embarrassing,2
69977,ana24horas,2
13825,cabezahueca,2
50028,follar,2
88234,resolverlos,2
48352,refugiarnos,2
49324,emperadora,2
69806,indemnizaron,2
47956,vacuum,2
49202,broph,2
51609,átale,2
13830,stavros,2
70293,chubasquero,2
47952,cheap,2
51188,parlamentarios,2
48351,preserven,2
51187,contaminados,2
50012,hilaridad,2
69978,afectuosos,2
51184,notifique,2
74383,colocou,2
51083,incriminante,2
13821,torsión,2
49341,ofenderle,2
89324,asignarle,2
50014,todo,2
76362,module,2
76048,caminhar,2
50017,potable,2
50480,yle,2
2616,asentaderas,2
88879,yeng,2
70234,mierdecilla,2
49353,gustaré,2
69751,medicas,2
51842,occupation,2
51200,seiscientos,2
51199,nailon,2
50500,manejó,2
48380,postapocalíptico,2
96635,voltéalas,2
51054,inviolable,2
70162,kokorec,2
88916,acogiera,2
48812,legalidad,2
13809,confiabilidad,2
48377,ayudalo,2
48375,agujereado,2
51841,victoriosos,2
49992,estratégicas,2
75857,exatamente,2
48341,donará,2
51771,kookaburras,2
48374,suspiró,2
49993,reticentes,2
48373,pudsey,2
51093,desprogramación,2
69908,divirtáis,2
51843,mediamano,2
50373,ejerza,2
50114,duraba,2
51850,kullback,2
49386,ingresas,2
48810,transportista,2
50505,sobrevolando,2
14501,barnabas,2
89099,oms,2
13902,delira,2
70241,estudiase,2
12907,ointments,2
88716,raider,2
51583,porfa,2
88136,uli,2
48944,arriesgarán,2
48248,ligarme,2
49985,gustave,2
14319,yagami,2
13388,consumirán,2
49378,weyerhammer,2
96567,michela,2
70292,videoproyector,2
75841,ponto,2
14459,desnudara,2
51838,91charlie,2
48372,piltrafa,2
50032,comáis,2
13898,mandadero,2
88771,pappardelle,2
47871,defenseless,2
50127,llevar,2
76356,options,2
88399,asumiría,2
47844,swedish,2
96555,endemoniados,2
48825,interceptarlo,2
13179,vagancia,2
47872,irma,2
89106,esparcirse,2
13814,pelusa,2
76428,extension,2
51066,recomponerme,2
49191,blimpo,2
51596,marrickville,2
76449,finishing,2
14288,concentro,2
50002,puñados,2
49354,supisteis,2
51616,parabólica,2
76357,ipo,2
49362,explícales,2
12530,entrarle,2
47838,forensics,2
47969,struck,2
51586,quejica,2
48370,prolongarlo,2
47968,headache,2
76425,whip,2
69748,fortalecen,2
88877,clowborough,2
69747,forrado,2
89101,brittney,2
70231,mees,2
51619,agradéceme,2
49999,8h,2
48941,bateadores,2
51059,apreciarlo,2
48940,bateando,2
13177,luzcan,2
48939,inclemente,2
69976,revisarnos,2
88465,pronunciaba,2
50494,disfrútelo,2
48368,estremecemos,2
14084,unieran,2
12899,giggles,2
51048,choco,2
48486,lev,2
48783,predije,2
88696,escondéis,2
88552,terrigénesis,2
51637,aparecieras,2
51277,llenarla,2
47727,convertible,2
13932,opriman,2
50960,barinov,2
48462,creíais,2
50055,riegan,2
49216,guiñando,2
13253,encierres,2
48219,recolección,2
88549,llevenme,2
50577,escogerá,2
50054,pisarlo,2
48275,interraciales,2
47897,returning,2
48757,tributario,2
88446,entretenga,2
69816,pariendo,2
47729,capota,2
49886,contéis,2
13754,robártelo,2
69995,balaclava,2
70283,multiservicio,2
96574,yowler,2
14492,diluvio,2
13539,honrarnos,2
51287,descienda,2
50178,publicas,2
50177,acordada,2
88553,remunerada,2
50579,treneglos,2
51286,dragosan,2
75898,gravidez,2
49487,agasajando,2
49128,producirse,2
48215,resalten,2
69692,desinflado,2
75934,estranha,2
49283,mobiliario,2
70166,kaytaz,2
88410,constructores,2
12452,toquecito,2
88672,seducida,2
48754,entenderse,2
89436,naces,2
12581,llevémoslos,2
76250,programmers,2
51285,solicitan,2
50056,laca,2
49890,liberemos,2
89070,incentivado,2
14063,inventados,2
47731,lisiaste,2
49465,ofendo,2
13197,añaden,2
48331,reporté,2
51744,afiches,2
48759,organizador,2
52020,alquilados,2
69697,contentan,2
70066,arnott,2
88738,bordeaux,2
14112,acudiendo,2
96793,grable,2
49139,kyber,2
69698,undécima,2
51269,phantom,2
48919,giacalone,2
89073,devalos,2
75817,toalha,2
49459,royco,2
47732,bajabas,2
12470,jovi,2
50563,volviese,2
48461,ascendiera,2
49894,terminarían,2
2601,escribio,2
14429,severine,2
48328,saudita,2
69892,tensan,2
13995,descansará,2
69732,procesaré,2
50568,jacka,2
13344,huías,2
49472,negocies,2
52028,stout,2
49286,adopte,2
50973,bullía,2
2621,magullado,2
52026,exfolia,2
88944,provisionalmente,2
51272,sacrificando,2
50963,foque,2
13847,secuela,2
49471,traicionaras,2
2700,deducible,2
49470,persuadirme,2
70065,asertiva,2
51157,formarse,2
50566,mcneill,2
89289,burda,2
89330,jett,2
47725,suspendemos,2
88560,fatalista,2
89067,victimizada,2
51492,hernando,2
47699,comprendiera,2
76293,heinous,2
88900,blasfemo,2
48041,muslim,2
50949,naufragar,2
48875,avales,2
48483,nils,2
50947,aparejos,2
12956,sigmund,2
76200,pariu,2
88951,noooooo,2
50595,penrose,2
52068,fontaneau,2
69689,clasificaciones,2
49505,arruinadas,2
51496,intuyes,2
50594,trevelyan,2
50952,remolcaré,2
50592,deseándolo,2
2746,dirias,2
50955,abordarán,2
50187,angers,2
50946,haraganes,2
88375,mance,2
47691,cabarets,2
75807,banheiro,2
48732,derrochar,2
14416,desahogo,2
50060,masturbo,2
51294,blink,2
70338,flipa,2
51731,vestidito,2
50602,veintena,2
69914,sudaca,2
47693,coleccionó,2
48917,expresidente,2
52074, chère,2
47695,impediste,2
89449,descuelgues,2
14602,altero,2
89332,contenga,2
50059,inspiraciones,2
13201,roe,2
69885,levantaros,2
69998,ballas,2
2501,guaridas,2
50591,nampara,2
14594,permitame,2
88058,afrodescendientes,2
50181,transitar,2
14058,juzgarnos,2
48031,swapped,2
47902,wheelchair,2
13257,colectas,2
50956,embestir,2
89194,belenka,2
12446,alejaré,2
89357,cortical,2
75864,cheia,2
49497,estructuralmente,2
48212,liberia,2
14586,crampones,2
70058,someterme,2
50180,acordada,2
75902,chefe,2
48471,staffan,2
50586,hebillas,2
69840,lugarteniente,2
75901,ruim,2
50581,prestaría,2
51504,cuidabas,2
49495,leerán,2
49217,thelma,2
88263,enzimas,2
49498,obscenidad,2
49126,enfermarme,2
14592,saltara,2
49862,superproducción,2
70168,informemos,2
13391,propónselo,2
48996,despabílate,2
52064,omitió,2
52063,resuélvanlo,2
49504,ofrecerá,2
47713,entierros,2
51640,incoherente,2
88801,aquelarres,2
50588,enfadando,2
49864,ilegible,2
50183,21,2
48744,giancana,2
49500,exploraremos,2
48476,iqué,2
75810,precisar,2
48210,dirigirlos,2
14473,patriarcado,2
88669,rokuro,2
89195,mangosta,2
